alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_nom_fr,"Energie, N x facteur Jones, avec fibres  (kJ/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),AG saturés (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Vitamine C (mg/100 g)
glaces et sorbets,desserts glacés,Nougat glacé,1100,"52,3","4,93","25,3","15,2","20,5",11,"2,76","22,7","0,13","< 0,5"
glaces et sorbets,desserts glacés,Citron givré ou Orange givrée (sorbet),563,0,"0,14","29,1","1,77","24,4",traces,traces,0,"0,034",0
glaces et sorbets,desserts glacés,Coupe glacée type café ou chocolat liégeois,924,0,"3,04","28,6",10,"25,6","7,74","1,82",0,"0,12",0
glaces et sorbets,desserts glacés,Bûche glacée,949,0,"2,47",30,"10,4","25,6","7,1","1,54",0,"0,19",0
glaces et sorbets,desserts glacés,Coupe glacée parfum pêche Melba ou poire Belle-Hélène,689,0,"0,91","32,2","3,36","31,4","1,79","0,35",0,"0,094",0
matières grasses,beurres,"Beurre à 82% MG, doux",3100,"15,4","0,7","0,9","82,9","0,83","55,4",0,218,"0,063",0
matières grasses,beurres,Huile de beurre ou Beurre concentré,-,"1,5","0,28",0,"99,9",0,"61,9",0,256,"0,005",0
matières grasses,beurres,"Beurre à 80% MG, demi-sel",3030,"15,3","0,72","0,55","81,4","0,39","54,9",0,218,"1,9",0
matières grasses,beurres,"Beurre à 80% MG, salé",3010,"15,7","0,5","0,68","80,8",traces,"52,9",0,245,"2,52","< 0,5"
matières grasses,beurres,"Beurre à 82% MG, doux, tendre",3100,"15,6","0,7","0,5","83,4",0,0,0,0,"0,055",0
matières grasses,beurres,"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",2260,"37,7","0,56","0,7","60,6","< 0,2","40,1",0,181,"0,045",< 1
matières grasses,beurres,"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",2280,37,"0,9","0,5",61,"0,5","34,3",0,106,"1,13",0
matières grasses,beurres,"Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen)",1510,"56,5","0,33","3,73","38,9","1,06",25,"0,51",101,"0,4",0
matières grasses,beurres,"Beurre à teneur en matière grasse inconnue (allégé ou non), demi-sel (aliment moyen)",2980,"16,6","0,73","0,55","80,2","0,4","53,7",0,211,"1,86",0
matières grasses,beurres,"Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)",3050,"16,7","0,69","0,99","81,5","0,84","54,5","0,017",214,"0,073","0,0098"
matières grasses,beurres,"Beurre à 39-41% MG, léger, doux",1610,"54,1","< 0,5","3,6","41,7","1,26","26,2",0,"84,5","0,45",0
matières grasses,beurres,"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux",1020,"68,8","0,4","3,8","25,6",0,"16,3",0,70,"0,72",< 1
matières grasses,beurres,"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux",831,"73,6","< 0,5","6,2","19,1","1,56","12,1",< 3,59,"0,63",< 1
matières grasses,huiles et graisses végétales,Huile ou beurre de cacao,3700,0,0,0,100,0,"59,7",0,0,0,0
matières grasses,huiles et graisses végétales,"Huile ou graisse de coco (coprah), sans précision",3700,0,0,0,100,0,84,0,0,0,0
matières grasses,huiles et graisses végétales,"Huile ou graisse de coco (coprah), raffinée",3700,0,0,0,100,0,"86,5",0,0,0,0
matières grasses,huiles et graisses végétales,Matière grasse ou graisse végétale solide (type margarine) pour friture,3700,"0,17","< 0,5",0,"99,8",traces,"94,6",0,0,"< 0,013","< 0,5"
matières grasses,huiles et graisses végétales,Huile ou beurre de karité,3700,0,0,0,100,0,"46,6",0,0,0,0
matières grasses,huiles et graisses végétales,"Huile pour friture, sans précision",3700,"< 0,03",0,0,100,0,"9,86",0,0,"< 0,013",0
matières grasses,huiles et graisses végétales,"Huile de palme, sans précision",3700,0,0,0,100,0,"49,3",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de palme raffinée,3700,0,0,0,100,0,"49,3",0,0,0,0
matières grasses,huiles et graisses végétales,"Huile ou graisse de palmiste, sans précision",3700,0,0,0,100,0,"81,5",0,0,0,0
matières grasses,huiles et graisses végétales,Huile végétale (aliment moyen),3700,"0,066","0,21",0,"99,9",0,"13,5",0,0,"0,0098",0
matières grasses,huiles et graisses végétales,Huile d'amandes d'abricot,3700,0,0,0,100,0,"6,3",0,0,0,0
matières grasses,huiles et graisses végétales,Huile d'amande,3700,0,0,0,100,0,"8,2",0,0,0,0
matières grasses,huiles et graisses végétales,Huile d'arachide,3700,"0,08","< 0,5",0,"99,9",0,"16,2",0,0,"< 0,013",0
matières grasses,huiles et graisses végétales,Huile d'avocat,3700,0,0,0,100,0,"17,9",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de germe de blé,3700,0,0,0,100,0,"17,4",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de carthame,3700,0,0,0,100,0,"6,69",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de colza,3700,0,0,0,100,0,"7,26",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de coton,3700,0,0,0,100,0,"25,9",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de lin,3700,0,0,0,100,0,"9,19",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de maïs,3700,0,0,0,100,0,"12,2",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de noisette,3700,0,0,0,100,0,"8,34",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de noix,3700,0,0,0,100,0,10,0,0,0,0
matières grasses,huiles et graisses végétales,Huile d'olive vierge extra,3700,"0,1","< 0,5",0,"99,9",0,"15,2",0,0,"< 0,013",0
matières grasses,huiles et graisses végétales,Huile de pavot,3700,0,0,0,100,0,"13,5",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de pépins de raisin,3700,"< 0,03",0,0,100,0,"11,4",0,0,"< 0,013",0
matières grasses,huiles et graisses végétales,Huile de son de riz,3700,0,0,0,100,0,"19,7",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de sésame,3700,0,0,0,100,0,"14,9",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de soja,3700,0,0,0,100,0,"14,7",0,0,0,0
matières grasses,huiles et graisses végétales,Huile de tournesol,3700,"< 0,03","< 0,5",0,100,0,"11,1",0,0,"0,025",0
matières grasses,huiles et graisses végétales,Huile combinée (mélange d'huiles),3680,0,0,0,"99,5",0,"10,3",0,0,"0,011",0
matières grasses,huiles et graisses végétales,"Huile combinée, mélange d'huile d'olive et de graines",3700,0,0,0,100,0,"12,1",0,0,0,0
matières grasses,huiles et graisses végétales,Huile d'argan ou d'argane,3650,0,0,0,"98,7",0,"17,6",0,0,0,0
matières grasses,margarines,"Matière grasse végétale (type margarine) à 80% MG, salée",2970,0,"< 0,5","< 0,5",80,"< 0,5",32,0,0,"1,78",0
matières grasses,margarines,"Matière grasse végétale ou margarine, 80% MG, doux",2980,"16,3","0,39","0,3","80,4","0,3","25,1",0,0,"0,43",0
matières grasses,margarines,"Matière grasse végétale (type margarine) à 70% MG, doux",2600,"26,5","0,13","0,24",70,"0,24","29,2",0,"5,6","0,76","2,4"
matières grasses,margarines,"Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux",2250,39,"< 0,5","< 0,55","60,6","< 0,2","14,1",0,0,"0,37",0
matières grasses,margarines,"Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen)",2500,"29,9","0,16","0,24","67,4","0,24","26,6",0,"6,75","0,68","2,01"
matières grasses,margarines,"Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen)",2190,"40,8","0,28","0,24","58,9","0,22","18,2",0,"10,5","0,4","0,74"
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",1510,"55,8","1,44",3,"38,6","1,91","17,5",0,34,"0,53",< 1
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel",1470,"51,6","0,9","3,05",38,"1,5","17,3",0,12,"1,63","2,2"
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3",1440,"58,2",0,0,"38,8",0,9,0,17,"0,3",< 1
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3",2140,"40,4","0,15","0,18","57,8","0,18","14,5",traces,4,"0,37",< 1
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel",2150,"36,9","0,2","< 0,2",58,"< 0,2",25,0,22,"1,25",< 1
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal",2250,"39,4","< 0,5",0,"60,8",traces,"14,6",0,0,"0,32","< 0,5"
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3",2020,"44,2","0,083","0,12","54,5","0,12","14,9",0,2,"1,38",0
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",2200,"40,5","< 0,5","0,18","59,3","0,18","18,2",0,10,"0,4","0,75"
matières grasses,margarines,"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",1340,0,"0,1","2,5",35,"0,1","7,8",0,0,"1,23",0
matières grasses,margarines,Matière grasse mélangée (végétale et laitière) à 50-63% MG,2010,"44,5","0,4","0,6",54,"0,6","25,7",0,38,"0,44","< 0,5"
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel",1980,0,"0,4","0,6",53,"0,6","25,7",0,38,"1,5",0
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG",1640,54,"1,69","5,6","40,9","2,3","20,6",0,"15,1","0,54","< 0,5"
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel",1530,0,"1,5","5,6",38,"2,5","17,5",0,"13,7","1,75",0
matières grasses,huiles de poissons,Huile de foie de morue,3700,0,0,0,100,0,22,0,510,"0,00005",0
matières grasses,huiles de poissons,Huile de sardine,3700,0,0,0,100,0,"29,9",0,710,0,0
matières grasses,huiles de poissons,Huile de saumon,3700,0,0,0,100,0,0,0,485,0,0
matières grasses,huiles de poissons,Huile de hareng,3700,0,0,0,100,0,"21,3",0,766,0,0
matières grasses,autres matières grasses,Saindoux,3680,1,0,0,"99,5",0,"41,1",0,95,"0,005",0
matières grasses,autres matières grasses,"Lard gras, cru",3330,"7,69","2,92",0,"88,7",0,"32,2",0,57,"0,028",0
matières grasses,autres matières grasses,Graisse de poulet,3690,"0,2",0,0,"99,8",0,"29,8",0,85,0,0
matières grasses,autres matières grasses,Graisse de canard,3690,"0,2",0,0,"99,8",0,"33,2",0,100,0,0
matières grasses,autres matières grasses,Graisse d'oie,3690,"0,2",0,0,"99,8",0,"27,7",0,100,0,0
matières grasses,autres matières grasses,Graisse de dinde,3690,"0,2",0,0,"99,8",0,"29,4",0,102,0,0
matières grasses,autres matières grasses,Huile de paraffine,0,0,0,0,0,0,0,0,0,0,0
aides culinaires et ingrédients divers,sauces,Sauce (aliment moyen),,63,"1,3","6,04","25,7","4,57","2,76","0,87","12,5","2,14","3,55"
aides culinaires et ingrédients divers,sauces,"Ketchup, préemballé",420,"71,1","1,27","21,4","0,19","20,8","0,069","1,15",0,"2,59","9,52"
aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée",-,"37,1","0,99","4,6",55,"3,11","4,99","0,47","35,1","1,94","< 0,5"
aides culinaires et ingrédients divers,sauces,"Mayonnaise (70% MG min.), préemballée",-,"18,1","1,36","2,62","75,2","1,03","7,27","0,32",70,"1,39","< 0,5"
aides culinaires et ingrédients divers,sauces,"Ketchup allégé en sucres, préemballé",-,0,"1,21","14,6","0,11","9,83","0,046","1,29",0,"2,51",0
aides culinaires et ingrédients divers,sauces,"Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée, préemballée",-,"60,1","0,93","8,98","29,9","4,91","3,52","0,23",38,"2,37","3,75"
aides culinaires et ingrédients divers,sauces,"Sauce barbecue, préemballée",578,"63,4","0,56","30,3","0,6","27,5","0,1","1,2",0,"1,77","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce soja, préemballée",193,"68,9","7,08","3,64","0,1","1,32","0,0085","0,86",0,"18,6",0
aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile), préemballée",-,"35,1","0,53","4,54","52,8","3,66","6,01","0,32",0,"2,41",0
aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée",-,"67,3","< 0,5","2,39","26,4","1,73","2,2","0,5","< 0,7","1,9","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée",-,"40,4","0,54","4,56","52,4","2,9",0,"0,34","< 0,7","2,57","< 0,5"
aides culinaires et ingrédients divers,sauces,"Harissa (sauce condimentaire), préemballée",-,"77,9","2,72","7,3","2,9",0,"0,47","5,1",0,"2,81","31,9"
aides culinaires et ingrédients divers,sauces,"Sauce bourguignonne, préemballée",-,"46,3","1,25","7,85","43,9","5,23","3,59","0,52",32,"2,71","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce moutarde, préemballée",-,"65,4","1,66","3,3","22,8","0,92",0,2,"40,8","2,35","< 0,5"
aides culinaires et ingrédients divers,sauces,Sauce au yaourt,-,"80,1","3,64","5,04","6,91","4,37","1,46","0,8","3,01","1,28","8,02"
aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée",-,"45,7","1,42","9,48","41,8","5,1","3,7","0,2",0,"2,94",0
aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée",-,0,"1,13","4,7",41,"3,14",0,"0,42",0,"1,85",0
aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, préemballée",-,"61,8","0,86","5,3","30,9","4,06","3,22","0,35",0,"2,4","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée",345,0,"9,3","10,9",0,"8,34",0,"0,2",0,"22,2",0
aides culinaires et ingrédients divers,sauces,"Sauce burger, préemballée",-,0,"1,06","13,3","33,8","10,3","3,11","0,48","20,5","2,13",0
aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",-,"71,4","0,76","7,26","14,3","5,1","1,29","0,5","< 0,04","2,57","1,22"
aides culinaires et ingrédients divers,sauces,"Sauce kebab, préemballée",-,"61,2","1,1","9,15","27,6","4,6","2,3","0,1",0,"1,5",0
aides culinaires et ingrédients divers,sauces,"Sauce rouille, préemballée",-,0,"1,1",1,"41,4",0,"5,7",0,0,"1,18",0
aides culinaires et ingrédients divers,sauces,"Sauce au poivre, condimentaire, froide, préemballée",-,"40,8","0,69","5,8","49,3","5,19","3,78","< 0,5",0,"2,31",0
aides culinaires et ingrédients divers,sauces,Sauce froide (aliment moyen),,"57,5","0,86","5,73","31,6","4,81","2,72","0,61","12,5","2,45","2,83"
aides culinaires et ingrédients divers,sauces,Caviar de tomates,899,"64,3","2,19","6,8","19,2","6,5","1,88","3,5",0,"2,09","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce soja sucrée, préemballée",-,"42,1","2,88",0,"< 0,5","39,5","< 0,01",0,0,"6,9",0
aides culinaires et ingrédients divers,sauces,"Sauce pour nems à base de nuoc-mam dilué, préemballée",573,"62,4","1,38","31,2","< 0,5","30,9","< 0,01","< 0,25",0,"4,29",0
aides culinaires et ingrédients divers,sauces,"Sauce végétale type bolognaise, préemballée",284,"83,7","3,56","5,05",3,"5,05","0,48","2,46",0,"0,77","1,1"
aides culinaires et ingrédients divers,sauces,"Sauce teriyaki, préemballée",-,"67,7","3,82",16,"1,06","13,2","0,3","0,1",0,"6,13",0
aides culinaires et ingrédients divers,sauces,"Tzatziki, à base yaourt, préemballé",-,"77,8","6,19","3,8","10,9","2,7","0,81",traces,"8,77","0,88","0,51"
aides culinaires et ingrédients divers,sauces,"Tzatziki, à base fromage frais, préemballé",-,"79,1","6,87","3,28","11,1","2,35","1,13","1,15",0,"0,9",0
aides culinaires et ingrédients divers,sauces,"Guacamole, préemballé",-,"70,7","2,18","5,85","16,5","2,65","3,95","5,65","3,6","1,38",359
aides culinaires et ingrédients divers,sauces,"Houmous, préemballé",-,"51,8","8,2","7,1","23,9","1,38","2,48","5,98",0,"1,19",0
aides culinaires et ingrédients divers,sauces,"Caviar d'aubergine, préemballé",-,"60,5","0,71","4,3",21,"1,85","0,65","2,93",0,"1,36",0
aides culinaires et ingrédients divers,sauces,"Sauce béchamel, préemballée",-,"81,3","2,56","6,2","7,4","3,1","4,61","1,3",30,"0,69","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce béarnaise, préemballée",-,"43,6","0,88","4,52","47,7","2,3","3,55","0,48","48,9","1,95","< 0,5"
aides culinaires et ingrédients divers,sauces,"Sauce hollandaise, préemballée",-,"72,5","1,19","4,58","19,8","0,7","7,23","0,5","56,7","1,19","9,1"
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée",-,"84,7","1,52","7,69","4,18","5,44","0,49","2,17",0,"1,17","5,45"
aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée",-,"86,2","2,1","3,95","6,6","0,73","6,3",traces,0,"1,3",0
aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée",-,"82,4","4,22","7,27","4,81","4,74","1,78","2,29","13,7","1,18","7,55"
aides culinaires et ingrédients divers,sauces,"Sauce au poivre vert, préemballée",-,0,"1,3","5,3","6,1","1,3","2,87","1,3",0,"1,15",0
aides culinaires et ingrédients divers,sauces,"Sauce madère, préemballée",-,0,"0,6","3,6","2,2","1,9","1,1","0,5",0,"1,1",0
aides culinaires et ingrédients divers,sauces,"Sauce à l'échalote à la crème, préemballée",-,0,"1,7","11,9","5,53","2,27","3,03","0,9",0,"1,61",0
aides culinaires et ingrédients divers,sauces,"Sauce carbonara, préemballée",-,0,"5,17","4,7","12,8",1,"8,25","2,65",0,"1,49",0
aides culinaires et ingrédients divers,sauces,"Sauce chasseur, préemballée",-,91,"1,21","4,66","1,61",0,0,"0,43",0,"1,03",0
aides culinaires et ingrédients divers,sauces,"Sauce au curry, préemballée",324,"81,1","1,02","10,6","3,16","5,83","2,11","1,28","7,5","1,12","1,05"
aides culinaires et ingrédients divers,sauces,"Sauce au beurre blanc, préemballée",-,"72,4","1,13","3,4","21,4","1,35","11,9","< 0,5",0,"1,16",0
aides culinaires et ingrédients divers,sauces,"Sauce béchamel, maison",-,"74,9","3,84","8,97","10,6","4,38","2,85","0,2",7,"0,89","0,8"
aides culinaires et ingrédients divers,sauces,"Sauce au beurre, préemballée",-,"75,3","2,2","5,2","17,9",1,"12,1",1,"51,4","1,36","< 0,5"
aides culinaires et ingrédients divers,sauces,Sauce à la crème,-,"86,2","1,08","5,9","5,55","0,73",3,"0,17","12,9","1,38","0,042"
aides culinaires et ingrédients divers,sauces,"Sauce aux champignons, préemballée",-,"83,8","3,2","6,3","6,26","2,2",0,"2,25","15,1","0,9","< 0,5"
aides culinaires et ingrédients divers,sauces,Sauce à la crème aux épices,-,"84,7","1,16","6,2","5,75","0,95","3,12","0,65","13,3","1,29","0,5"
aides culinaires et ingrédients divers,sauces,Sauce à la crème aux herbes,-,86,"1,09","5,5","5,49","0,74","2,94","0,4","12,7","1,39","2,2"
aides culinaires et ingrédients divers,sauces,"Sauce aigre douce, préemballée",-,78,"0,55","20,1","0,2","15,9","0,063","0,97",0,"1,01",6
aides culinaires et ingrédients divers,sauces,Sauce au vin rouge,-,"87,6","0,81",7,"2,22","2,47","1,32","0,46","4,87","1,7","2,5"
aides culinaires et ingrédients divers,sauces,"Sauce basquaise ou Sauce aux poivrons, préemballée",264,0,"1,17","7,41","2,71","4,46","0,49","2,09",0,"1,13",0
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée",-,"86,5","1,79","7,78","2,68","4,58","0,26","2,35","< 0,7","1,04","8,54"
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée",-,"81,4","1,41","7,5","7,32","3,68","0,88","3,34","< 0,7","1,83","3,75"
aides culinaires et ingrédients divers,sauces,"Sauce pesto, préemballée",1530,"46,6","3,94","6,6","35,4","3,2","4,39","2,5","18,2","2,64","92,6"
aides culinaires et ingrédients divers,sauces,"Sauce au poivre, chaude, préemballée",-,"75,7",1,"4,8","14,8","1,76","1,91","1,13","19,5","1,58",0
aides culinaires et ingrédients divers,sauces,"Sauce au fromage pour risotto ou pâtes, préemballée",-,"82,9","3,11","4,24","9,53","0,68",7,"1,4",0,"1,38",0
aides culinaires et ingrédients divers,sauces,"Sauce au roquefort, préemballée",-,"80,9","2,85","4,4","10,9","1,1","7,18","0,6",0,"1,25",0
aides culinaires et ingrédients divers,sauces,"Sauce aux champignons et à la crème, préemballée",-,"86,1","1,38","6,2",5,"1,52","2,51","< 0,5",0,"0,96",0
aides culinaires et ingrédients divers,sauces,"Sauce grand veneur, préemballée",-,0,"1,5","8,45",7,"6,6","4,85",traces,0,"1,14",0
aides culinaires et ingrédients divers,sauces,"Sauce indienne type tandoori ou tikka masala, préemballée",-,0,"2,6","14,3","1,7","12,3","0,35","1,9",0,"2,4",0
aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée",-,0,"1,54","7,57","2,9","5,22","0,35","2,12",0,"0,99",0
aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée",-,0,"3,94","8,09","14,2","4,6","3,83","2,41",0,"1,31",0
aides culinaires et ingrédients divers,sauces,"Sauce pesto rosso, préemballée",-,0,"4,8","8,58",27,"2,75","3,95","4,15",0,"1,99",0
aides culinaires et ingrédients divers,sauces,Sauce chaude (aliment moyen),,"81,2","2,66","7,03","7,45","3,83","2,86","1,68","12,8","1,17","6,08"
aides culinaires et ingrédients divers,sauces,"Sauce à l'oseille, préemballée",-,0,"1,3","1,7",15,"1,7",10,"3,2",0,"0,63",0
aides culinaires et ingrédients divers,sauces,"Céleri rémoulade, préemballé",468,"81,5","0,94","3,14","10,2","1,8","0,94","2,2","0,1","1,17","3,06"
aides culinaires et ingrédients divers,sauces,"Meloukhia, sauce, artisanale",-,"67,7","1,13","0,2",21,0,0,"8,4",0,"0,95",0
aides culinaires et ingrédients divers,sauces,"Sauce au chocolat, préemballée",1160,0,"3,8","26,2","16,8","24,1","10,9",3,0,"0,13",0
aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée",443,"77,7","3,44","16,7","2,5","12,9","1,55",1,"26,6","0,13","0,45"
aides culinaires et ingrédients divers,condiments,"Cornichon, au vinaigre","81,9","93,7","1,06","0,78","< 0,6","0,6","< 0,01","1,5",0,"1,72","< 0,5"
aides culinaires et ingrédients divers,condiments,Moutarde,632,"67,9","6,92","4,33","11,2","1,66","0,76",< 1,0,"6,3","0,3"
aides culinaires et ingrédients divers,condiments,Vinaigre,"97,4","92,9","0,04","0,62","0,1","0,04",0,0,0,"0,033","0,5"
aides culinaires et ingrédients divers,condiments,Moutarde à l'ancienne,591,"67,8","6,6","2,2","9,9","2,2","0,61","4,5","5,44","4,9","< 0,5"
aides culinaires et ingrédients divers,condiments,"Câpres, au vinaigre",-,"83,9","2,18","3,5","0,86","0,41","0,23","3,6",0,"4,06","4,3"
aides culinaires et ingrédients divers,condiments,Tapenade,-,"62,3","1,3","2,6",23,"0,2","2,7","3,7","3,2","3,2","1,05"
aides culinaires et ingrédients divers,condiments,Oignon au vinaigre,-,93,"0,56","2,5","0,2","1,98",0,"1,8",0,"2,36",7
aides culinaires et ingrédients divers,condiments,Vinaigre de cidre,-,"93,8",0,"0,93",0,"0,4",0,0,0,"0,013",0
aides culinaires et ingrédients divers,condiments,Vinaigre balsamique,531,"70,3","0,69","25,8","< 0,6","19,1",0,"0,5",0,"0,068","< 0,5"
aides culinaires et ingrédients divers,condiments,"Cornichon, aigre-doux",152,"91,5","1,25",5,"0,35",4,0,"1,5",0,"1,1",0
aides culinaires et ingrédients divers,condiments,Vinaigre de vin rouge,"93,3","91,5","< 0,5",traces,0,traces,0,0,0,"0,013","< 0,5"
aides culinaires et ingrédients divers,condiments,"Olive noire, en saumure, égouttée",-,"74,9","1,38","< 0,1","17,2",0,"2,08","6,2","< 0,7","1,77","< 0,5"
aides culinaires et ingrédients divers,condiments,"Olive verte, en saumure, égouttée",637,"75,8","1,31",traces,"15,7",traces,"2,33","3,6",1,"3,15","< 0,5"
aides culinaires et ingrédients divers,condiments,"Olive noire, à l'huile (à la grecque)",1360,"45,7","2,19","< 0,1","33,3",0,"4,02","11,6","< 0,7","8,45","0,62"
aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)",-,75,"2,09","0,61","15,2","< 0,4","2,63","4,33","1,4","2,78","38,6"
aides culinaires et ingrédients divers,condiments,Olive (aliment moyen),667,"74,6","1,39","0,043","16,5","0,011","2,35","4,38","0,88","3,03","2,27"
aides culinaires et ingrédients divers,condiments,Olive noire (aliment moyen),,"70,7","1,49","0,05","19,5",0,"2,35","6,97","0,35","2,72","0,3"
aides culinaires et ingrédients divers,aides culinaires,"Bouillon de boeuf, déshydraté",1000,"2,6","10,2","19,7","13,3","3,95","7,03","0,65","4,8",33,0
aides culinaires et ingrédients divers,aides culinaires,"Fond de veau pour sauces et cuisson, déshydraté",1450,"4,2","8,5","59,5","7,4","22,3","3,22","2,1","18,2","16,7",0
aides culinaires et ingrédients divers,aides culinaires,"Fond de volaille pour sauces et cuisson, déshydraté",1440,0,"7,4","66,3","4,9","13,6","1,65","1,3",0,"12,5",0
aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté",1080,0,5,7,23,"4,5",16,"2,5",0,"47,5",0
aides culinaires et ingrédients divers,aides culinaires,"Bouillon de volaille, déshydraté",974,"9,37","11,3","20,8","11,5","5,38","6,75","0,58",0,"49,6",0
aides culinaires et ingrédients divers,aides culinaires,"Gelée au madère, déshydratée",1050,"4,7","44,5",17,"0,2","1,25","0,1","0,1",0,"28,6",0
aides culinaires et ingrédients divers,aides culinaires,Gelée au madère,48,0,2,"0,8","0,01","0,1","0,004","0,004",0,"1,48",0
aides culinaires et ingrédients divers,aides culinaires,"Fond de veau, préemballé",171,0,"3,15","2,4","2,05","0,7",1,"0,1",0,"1,1",0
aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",161,"87,4","2,12","3,2","0,73","3,2","0,1","4,17",0,"0,59",7
aides culinaires et ingrédients divers,aides culinaires,"Bouillon de viande et légumes type pot-au-feu, déshydraté",893,"4,53","10,3","17,7","11,1","2,87","5,85","0,67",0,"54,1",0
aides culinaires et ingrédients divers,aides culinaires,"Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté",893,"2,4","11,6","28,9","5,4","2,8","1,4",0,"4,55","48,4",0
aides culinaires et ingrédients divers,aides culinaires,"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",832,"2,5","10,8","30,9","3,1","2,2","1,08",0,"12,8","48,2",0
aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",0,"0,027",0,0,0,0,0,0,0,"97,8",0
aides culinaires et ingrédients divers,sels,Sel au céleri,204,0,"1,81","4,14","2,53",0,0,"1,19",0,"87,5",0
